iso2c,country,year,gdp_percap,child_mortal,fertil_rate,iso3c,region,capital,longitude,latitude,income,lending
AD,Andorra,2006,,3.7,1.24,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,1995,,6,,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,1997,,5.3,,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2004,,4,,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,1990,,8.5,,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2005,,3.9,,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,1994,,6.4,,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,1999,,4.8,,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2007,,3.6,1.18,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,1993,,6.9,,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,1998,,5,,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2003,,4.1,,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2000,,4.6,,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,1996,,5.7,,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,1992,,7.4,,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2001,,4.4,,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2009,,3.4,1.19,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2010,,3.3,1.27,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2008,,3.5,1.25,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,1991,,7.9,,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2002,,4.2,,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2011,,3.2,,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AD,Andorra,2012,,3.1,,AND,Europe & Central Asia,Andorra la Vella,1.5218,42.5075,High income,Not classified
AE,United Arab Emirates,2010,56415.0740541116,8.5,1.869,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2004,85090.2827624559,10.1,2.238,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2002,79388.0109781832,10.6,2.428,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2003,82571.3609969717,10.3,2.33,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,1999,76193.7004846831,11.5,2.768,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,1991,70641.7656524757,15.6,4.253,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2009,59160.0018502916,8.8,1.904,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,1997,79612.8677758291,12.2,3.062,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,1998,76783.5424728084,11.8,2.907,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2000,81818.620518073,11.1,2.644,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,1996,75977.3934172318,12.6,3.232,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2005,82205.9452738345,9.8,2.151,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2001,80488.6897393234,10.9,2.532,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,1995,74045.2298778651,13,3.418,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,1990,71786.1128303808,16.5,4.454,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2012,60914.803083232,7.8,1.82,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2006,81305.3748139347,9.6,2.073,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2011,58404.0155906001,8.2,1.841,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2008,68902.1990533634,9.1,1.949,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,1994,71492.9295991637,13.6,3.618,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,2007,74698.274385985,9.4,2.005,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,1992,70495.9605342429,14.8,4.041,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AE,United Arab Emirates,1993,69085.1259921054,14.2,3.827,ARE,Middle East & North Africa,Abu Dhabi,54.3705,24.4764,High income,Not classified
AF,Afghanistan,1994,,156.8,7.572,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2003,922.829449153001,126.8,7.136,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1997,,145.5,7.635,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1995,,152.3,7.606,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2002,875.517610447298,130.3,7.271,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2001,,133.8,7.392,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2012,1873.15394552307,99.5,5.38,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2004,916.334474798349,123.2,6.988,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2000,,137,7.494,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1996,,148.6,7.63,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1991,,174.2,7.479,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2007,1210.4792652894,113.2,6.46,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1993,,162,7.535,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2011,1660.73985617959,102.3,5.595,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2006,1065.61966514703,116.3,6.651,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1990,,181,7.466,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1992,,167.8,7.502,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1998,,142.6,7.616,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,1999,,139.9,7.569,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2010,1581.60083598967,105,5.816,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2008,1247.06614429099,110.4,6.254,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2005,1011.59552439759,119.6,6.827,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
AF,Afghanistan,2009,1482.09883711417,107.6,6.038,AFG,South Asia,Kabul,69.1761,34.5228,Low income,IDA
