country,year.x,region,primary_infertility_rate,year.y,age_first_birth
Afghanistan,2010,South Asia,0.0213198,2010,20.1
Albania,2010,Europe & Central Asia,0.0112748,2008,23.9
Algeria,2010,Middle East & North Africa,0.0190291,,
American Samoa,2010,East Asia & Pacific,,,
Andorra,2010,Europe & Central Asia,0.0114977,,
Angola,2010,Sub-Saharan Africa,0.0182041,,18
Antigua and Barbuda,2010,Latin America & Caribbean,0.0143296,,
Argentina,2010,Latin America & Caribbean,0.0110535,,
Armenia,2010,Europe & Central Asia,0.011945,2010,24.1
Aruba,2010,Latin America & Caribbean,,,
Australia,2010,East Asia & Pacific,0.0109971,2006,30.5
Austria,2010,Europe & Central Asia,0.012114,2010,28.2
Azerbaijan,2010,Europe & Central Asia,0.0153763,2010,23.7
"Bahamas, The",2010,Latin America & Caribbean,,,
Bahrain,2010,Middle East & North Africa,0.0199312,,
Bangladesh,2010,South Asia,0.0136958,2007,18.1
Barbados,2010,Latin America & Caribbean,0.0156457,,
Belarus,2010,Europe & Central Asia,0.020033,2008,24.4
Belgium,2010,Europe & Central Asia,0.0158026,2006,27.7
Belize,2010,Latin America & Caribbean,0.0147022,,
Benin,2010,Sub-Saharan Africa,0.011112,2006,20
Bermuda,2010,North America,,,
Bhutan,2010,South Asia,0.0195306,,
Bolivia,2010,Latin America & Caribbean,0.0059597,2008,21.2
Bosnia and Herzegovina,2010,Europe & Central Asia,0.0117454,2008,24.9
Botswana,2010,Sub-Saharan Africa,0.010629,2007,19
Brazil,2010,Latin America & Caribbean,0.0102042,,
Brunei Darussalam,2010,East Asia & Pacific,0.0082415,,
Bulgaria,2010,Europe & Central Asia,0.0109581,2009,26.6
Burkina Faso,2010,Sub-Saharan Africa,0.0144667,2010,19.4
Burundi,2010,Sub-Saharan Africa,0.0100444,2010,21.3
Cambodia,2010,East Asia & Pacific,0.0116694,2010,22.8
Cameroon,2010,Sub-Saharan Africa,0.0245427,2004,19.4
Canada,2010,North America,0.0100361,2007,27.6
Cayman Islands,2010,Latin America & Caribbean,,,
Central African Republic,2010,Sub-Saharan Africa,0.0267754,,
Chad,2010,Sub-Saharan Africa,0.0139815,2004,18.2
Channel Islands,2010,Europe & Central Asia,,,
Chile,2010,Latin America & Caribbean,0.0107977,2004,23.7
China,2010,East Asia & Pacific,0.0108504,,
Colombia,2010,Latin America & Caribbean,0.0084528,2010,21.4
Comoros,2010,Sub-Saharan Africa,0.0148113,,
"Congo, Dem. Rep.",2010,Sub-Saharan Africa,,,
"Congo, Rep.",2010,Sub-Saharan Africa,,,
Costa Rica,2010,Latin America & Caribbean,0.0079245,,
Cote d'Ivoire,2010,Sub-Saharan Africa,,,
Croatia,2010,Europe & Central Asia,0.0113579,2008,27.1
Cuba,2010,Latin America & Caribbean,0.0145838,,
Curacao,2010,Latin America & Caribbean,,,
Cyprus,2010,Europe & Central Asia,0.0107651,2005,27.5
Czech Republic,2010,Europe & Central Asia,0.0123634,2009,27.4
Denmark,2010,Europe & Central Asia,0.0101013,2005,28.4
Djibouti,2010,Middle East & North Africa,0.018729,,
Dominica,2010,Latin America & Caribbean,0.0154479,,
Dominican Republic,2010,Latin America & Caribbean,0.0140806,2007,20.3
Ecuador,2010,Latin America & Caribbean,0.0063345,2004,21.1
"Egypt, Arab Rep.",2010,Middle East & North Africa,,,
El Salvador,2010,Latin America & Caribbean,0.006023,2008,20.8
Equatorial Guinea,2010,Sub-Saharan Africa,0.0166872,,
Eritrea,2010,Sub-Saharan Africa,0.0127286,2002,20.6
Estonia,2010,Europe & Central Asia,0.0205958,2009,26.1
Ethiopia,2010,Sub-Saharan Africa,0.0134739,2011,19.6
Fiji,2010,East Asia & Pacific,0.029801,,
Finland,2010,Europe & Central Asia,0.0108173,2009,28.2
France,2010,Europe & Central Asia,0.0116344,2006,28.6
French Polynesia,2010,East Asia & Pacific,,,
Gabon,2010,Sub-Saharan Africa,0.016364,2000,18.7
"Gambia, The",2010,Sub-Saharan Africa,,,
Georgia,2010,Europe & Central Asia,0.0133224,2008,23.7
Germany,2010,Europe & Central Asia,0.0105654,2008,30
Ghana,2010,Sub-Saharan Africa,0.0116199,2008,21.8
Gibraltar,2010,Europe & Central Asia,,,
Greece,2010,Europe & Central Asia,0.0119553,2007,29.2
Greenland,2010,Europe & Central Asia,,,
Grenada,2010,Latin America & Caribbean,0.0156228,,
Guam,2010,East Asia & Pacific,,,
Guatemala,2010,Latin America & Caribbean,0.0077085,2002,20.2
Guinea,2010,Sub-Saharan Africa,0.019084,2005,18.8
Guinea-Bissau,2010,Sub-Saharan Africa,0.0163315,,
Guyana,2010,Latin America & Caribbean,0.0151049,2009,20.8
Haiti,2010,Latin America & Caribbean,0.0185915,,22.2
Honduras,2010,Latin America & Caribbean,0.0078969,,20
"Hong Kong SAR, China",2010,East Asia & Pacific,,,
Hungary,2010,Europe & Central Asia,0.0110503,2009,27.4
Iceland,2010,Europe & Central Asia,0.0112147,2009,25.9
India,2010,South Asia,0.0202117,,19.9
Indonesia,2010,East Asia & Pacific,0.0229456,2007,22.5
"Iran, Islamic Rep.",2010,Middle East & North Africa,,,
Iraq,2010,Middle East & North Africa,0.0229338,,
Ireland,2010,Europe & Central Asia,0.011347,2008,28.9
Isle of Man,2010,Europe & Central Asia,,,
Israel,2010,Middle East & North Africa,0.0109957,2008,27
